Occupation,Salary Grade,Occupational Service Code,Occupational Group Code,Class ID
Accountant I,12,02-FS,AC,A1
Accountant II,16,02-FS,AC,A2
Accountant III,19,02-FS,AC,A3
Accountant IV,22,02-FS,AC,A4
Accounting Analyst,11,02-FS,AC,AA
Accounts Liquidation Assistant,8,02-FS,AL,ALA
Accounts Liquidation Officer I,11,02-FS,AL,ALO1
Accounts Liquidation Officer II,15,02-FS,AL,ALO2
Accounts Liquidation Officer III,18,02-FS,AL,ALO3
Accounts Liquidation Officer IV,22,02-FS,AL,ALO4
Accounts Liquidation Officer V,24,02-FS,AL,ALO5
Actuarial Researcher,9,12-TT,IR,AR
Acupressure Technician,6,09-MH,MT,AT
Administrative Aide I,1,01-GA,ADS,ADA1
Administrative Aide II,2,01-GA,ADS,ADA2
Administrative Aide III,3,01-GA,ADS,ADA3
Administrative Aide IV,4,01-GA,ADS,ADA4
Administrative Aide V,5,01-GA,ADS,ADA5
Administrative Aide VI,6,01-GA,ADS,ADA6
Administrative Assistant I,7,01-GA,ADS,ADAS1
Administrative Assistant II,8,01-GA,ADS,ADAS2
Administrative Assistant III,9,01-GA,ADS,ADAS3
Administrative Assistant IV,10,01-GA,ADS,ADAS4
Administrative Assistant V,11,01-GA,ADS,ADAS5
Administrative Assistant VI,12,01-GA,ADS,ADAS6
Administrative Officer I,10,01-GA,ADS,ADOF1
Administrative Officer II,11,01-GA,ADS,ADOF2
Administrative Officer III,14,01-GA,ADS,ADOF3
Administrative Officer IV,15,01-GA,ADS,ADOF4
Administrative Officer V,18,01-GA,ADS,ADOF5
Administrator I,28,18-ES,OM,AD1
Administrator II,29,18-ES,OM,AD2
Administrator III,30,18-ES,OM,AD3
Advertising Officer I,10,12-TT,SPR,AVO1
Advertising Officer II,14,12-TT,SPR,AVO2
Advertising Officer III,18,12-TT,SPR,AVO3
Advertising Officer IV,20,12-TT,SPR,AVO4
Aerial Photo Analyst I,12,04-AE,CR,APA1
Aerial Photo Analyst II,16,04-AE,CR,APA2
Agrarian Reform Program Officer I,11,11-AA,AGR,ARPO1
Agrarian Reform Program Officer II,15,11-AA,AGR,ARPO2
Agrarian Reform Program Technologist,10,11-AA,AGR,ARPT
Agricultural Center Chief I,18,11-AA,AGD,ACC1
Agricultural Center Chief II,20,11-AA,AGD,ACC2
Agricultural Center Chief III,22,11-AA,AGD,ACC3
Agricultural Center Chief IV,24,11-AA,AGD,ACC4
Agricultural Products Inspector I,6,11-AA,AGD,API1
Agricultural Products Inspector I,8,11-AA,AGD,API2
Agricultural Products Inspector II,11,11-AA,AGD,API3
Agricultural Technician I,6,11-AA,AGD,AGT1
Agricultural Technician II,8,11-AA,AGD,AGT2
Agricultural Technologist,10,11-AA,AGD,AGTG
Agriculturist I,11,11-AA,AGD,AG1
Agriculturist II,15,11-AA,AGD,AG2
Air Navigation Services Supervisor,25,04-AE,AT,ANSS
Air Navigation System Specialist I,17,04-AE,AT,ANSS1
Air Navigation System Specialist II,18,04-AE,AT,ANSS2
Air Terminal Supervisor,15,05-TC,AV,ATS
Air Traffic Controller I,18,05-TC,AV,ATC1
Air Traffic Controller II,19,05-TC,AV,ATC2
Air Traffic Services Supervisor,25,05-TC,AV,ATSS
Aircraft Maintenance Technologist I,11,04-AE,AMT,AMT1
Aircraft Maintenance Technologist II,15,04-AE,AMT,AMT2
Aircraft Maintenance Technologist III,18,04-AE,AMT,AMT3
Aircraft Mechanic I,6,06-CT,MHOR,AM1
Aircraft Mechanic II,8,06-CT,MHOR,AM2
Aircraft Mechanic III,11,06-CT,MHOR,AM3
Aircraft Mechanic IV,13,06-CT,MHOR,AM4
Airfield Power Technician I,4,05-TC,AV,APT1
Airfield Power Technician II,6,05-TC,AV,APT2
Airfield Power Technician III,9,05-TC,AV,APT3
Airfield Power Technician IV,11,05-TC,AV,APT4
Airfield Power Technician V,13,05-TC,AV,APT5
Airport Manager I,20,05-TC,AV,AIM1
Airport Manager II,23,05-TC,AV,AIM2
Airport Manager III,24,05-TC,AV,AIM3
Airport Manager IV,26,05-TC,AV,AIM4
Airport Project Supervisor,17,05-TC,AV,APS
Airways Communications Services Supervisor,25,05-TC,AV,ACSS
Airways Communicator I,17,05-TC,AV,ACOM1
Airways Communicator II,18,05-TC,AV,ACOM2
Ammunition Worker I,2,14-DS,OMRR,AW1
Ammunition Worker II,4,14-DS,OMRR,AW2
Animal Feed Control Officer,13,09-MH,V,AFCO
Animal Keeper I,4,13-MP,Z,AK1
Animal Keeper II,6,13-MP,Z,AK2
Animal Keeper III,9,13-MP,Z,AK3
Antenna Rigger,3,05-TC,CDOR,ANR
Aquacultural Technician I,6,11-AA,AQD,AQT1
Aquacultural Technician II,8,11-AA,AQD,AQT2
Aquacultural Technologist,10,11-AA,AQD,AQTG
Aquaculturist I,11,11-AA,AQD,AQ1
Aquaculturist II,15,11-AA,AQD,AQ2
Architect I,12,04-AE,AR,ARC1
Architect II,16,04-AE,AR,ARC2
Architect III,19,04-AE,AR,ARC3
Architect IV,22,04-AE,AR,ARC4
Architect V,24,04-AE,AR,ARC5
Archivist I,10,10-EL,ARV,ARV1
Archivist II,14,10-EL,ARV,ARV2
Armorer I,2,14-DS,OMRR,ARM1
Armorer II,4,14-DS,OMRR,ARM2
Artificial Limb and Brace Maker I,4,06-CT,BW,ALBM1
Artificial Limb and Brace Maker II,6,06-CT,BW,ALBM2
Artificial Limb and Brace Maker III,9,06-CT,BW,ALBM3
Assessment Clerk I,4,02-FS,AM,ASCL1
Assessment Clerk II,6,02-FS,AM,ASCL2
Assessment Clerk III,9,02-FS,AM,ASCL3
Assistant Cabinet Secretary,29,18-ES,CES,ACS
Assistant Chef,8,17-MS,FOS,ACF
Assistant Chief Air Navigation System Specialist,23,04-AE,AT,ACANSS
Assistant Chief Air Traffic Controller,23,05-TC,AV,ACATC
Assistant Chief Airways Communicator,23,05-TC,AV,ACAC
Assistant Chief of Staff (OVP),29,18-ES,CES,ACSVP
Assistant Chief State Counsel,29,15-LJ,SC,ACSC
Assistant College Department Head,17,10-EL,STCA,ACDH
Assistant Commissioner of Internal Revenue,27,18-ES,OM,ASCOMIR
"Assistant Commissioner,Constitutional Commission",29,18-ES,TMG,ACOM
Assistant Court Administrator of the Supreme Court,30,15-LJ,JA,ACASC
Assistant Customs Operations Officer,9,02-FS,CO,ACOO
Assistant Director-General,29,18-ES,TMG,ADG
Assistant Executive Secretary,29,18-ES,CES,AES
Assistant Financial Claims Examiner,7,02-FS,BFCP,AFCE
Assistant General Manager,29,18-ES,OM,AGM
Assistant Government Corporate Counsel,29,15-LJ,GCC,AGCC
Assistant Information Officer,8,08-IA,ID,AIO
Assistant Land Registration Examiner,7,11-AA,LREG,ALRE
Assistant Launch Service Supervisor,9,05-TC,MTS,ALSS
Assistant Mining Claims Examiner,7,11-AA,MCE,AMCE
Assistant National Cashier,22,02-FS,CH,ANC
Assistant National Statistician,28,03-PS,ST,ASSNS
Assistant Nutritionist-Dietitian,7,09-MH,DT,AND
Assistant Ombudsman,29,15-LJ,GI,AO
Assistant Parole Officer,12,07-SS,PPA,APO
Assistant Press Secretary,29,18-ES,CES,APSEC
Assistant Professor I,15,10-EL,SCUT,AP1
Assistant Professor II,16,10-EL,SCUT,AP2
Assistant Professor III,17,10-EL,SCUT,AP3
Assistant Professor IV,18,10-EL,SCUT,AP4
Assistant Provincial Warden,18,14-DS,CSS,APW
Assistant Registration Officer,8,07-SS,R,ARO
Assistant Remote Sensing Technologist,8,11-AA,RST,ARST
Assistant Revenue Officer,9,02-FS,RCEP,AREVO
Assistant School Principal I,18,10-EL,STCA,ASP1
Assistant School Principal II,19,10-EL,STCA,ASP2
Assistant School Principal III,20,10-EL,STCA,ASP3
Assistant Schools Division Superintendent,25,10-EL,STCA,ASDS
Assistant Scientist,24,13-MP,SD,ATSCIEN
Assistant Solicitor General,30,15-LJ,SL,ASOLIGEN
Assistant Special School Principal,18,10-EL,STCA,ASSP
Assistant Statistical Coordination Officer,9,03-PS,STC,ASCO
Assistant Statistician,9,03-PS,ST,ASTAT
Assistant Superintendent of Printing,25,08-IA,PAD,ASPR
Assistant Supervisor of Student Teaching,15,10-EL,ERPS,ASST
Assistant Teachers'Camp Superintendent,22,17-MS,LDS,ATCS
Assistant Traffic Operations Officer,8,14-DS,TRO,ATOO
Assistant Weather Services Chief,22,13-MP,WO,AWSC
Associate Government Corporate Attorney I,18,15-LJ,GCC,AGCA1
Associate Government Corporate Attorney II,22,15-LJ,GCC,AGCA2
Associate Graft Investigation Officer I,15,15-LJ,GI,AGIO1
Associate Graft Investigation Officer II,18,15-LJ,GI,AGIO2
Associate Graft Investigation Officer III,22,15-LJ,GI,AGIO3
Associate Justice,30,15-LJ,JJ,AJ
Associate Justice of the Supreme Court,31,15-LJ,JJ,AJSC
"Associate Justice, Court of Appeals",30,15-LJ,JJ,AJCA
"Associate Justice, Sandiganbayan",30,15-LJ,JJ,AJS
Associate Professor I,19,10-EL,SCUT,APRO1
Associate Professor II,20,10-EL,SCUT,APRO2
Associate Professor III,21,10-EL,SCUT,APRO3
Associate Professor IV,22,10-EL,SCUT,APRO4
Associate Professor V,23,10-EL,SCUT,APRO5
Associate Prosecution Attorney I,18,15-LJ,PE,ASPRO1
Associate Prosecution Attorney II,22,15-LJ,PE,ASPRO2
Associate Public Attorney I,18,15-LJ,PAT,ASPA1
Associate Public Attorney II,22,15-LJ,PAT,ASPA2
Associate Scientist,25,13-MP,SD,ASSCIEN
Associate Solicitor I,24,15-LJ,SL,ASOL1
Associate Solicitor II,25,15-LJ,SL,ASOL2
Associate Solicitor III,26,15-LJ,SL,ASOL3
Associate Special Prosecution Officer I,18,15-LJ,SP,ASPO1
Associate Special Prosecution Officer II,22,15-LJ,SP,ASPO2
Associate State Counsel I,18,15-LJ,SC,ASC1
Associate State Counsel II,22,15-LJ,SC,ASC2
Attaché I,24,16-FR,AS,ACHE1
Attaché II,25,16-FR,AS,ACHE2
Attorney I,16,15-LJ,ATTY,ATY1
Attorney II,18,15-LJ,ATTY,ATY2
Attorney III,21,15-LJ,ATTY,ATY3
Attorney IV,23,15-LJ,ATTY,ATY4
Attorney V,25,15-LJ,ATTY,ATY5
Attorney VI,26,15-LJ,ATTY,ATY6
Auditing Systems Analyst,11,02-FS,AFE,AUSA
Auditing Systems Specialist I,13,02-FS,AFE,ASS1
Auditing Systems Specialist II,16,02-FS,AFE,ASS2
Automotive Equipment Inspector I,8,06-CT,MHOR,AEI1
Automotive Equipment Inspector II,11,06-CT,MHOR,AEI2
Aviation Safety Regulation Officer I,11,05-TC,AV,AVSRO1
Aviation Safety Regulation Officer II,15,05-TC,AV,AVSRO2
Accounting Clerk I,4,02-FS,AC,AC1
Accounting Clerk II,6,02-FS,AC,AC2
Accounting Clerk III,8,02-FS,AC,AC3
Accounting Machine Operator I,5,02-FS,AC,AMO1
Accounting Machine Operator II,7,02-FS,AC,AMO2
Accounting Machine Operator II,10,02-FS,AC,AMO3
Administrative Assistanta,8,01-GA,ADS,ADA
Administrative Officer I,11,01-GA,ADS,ADO1
Administrative Officer II,15,01-GA,ADS,ADO2
Administrative Officer II,18,01-GA,ADS,ADO3
Administrative Officer IV,22,01-GA,ADS,ADO4
Administrative Officer V,24,01-GA,ADS,ADO5
Air-Conditioning Technician I,6,06-CT,MHOR,ACT1
Air-Conditioning Technician II,8,06-CT,MHOR,ACT2
Artist-Illustrator I,6,08-IA,I,AL1
Artist-Ilustrator II,8,08-IA,I,AL2
Artist-Illustrator III,11,08-IA,I,AL3
Audio-Visual Aids Technician I,6,08-IA,AVEO,AVAT1
Audio-Visual Aids Technician II,8,08-IA,AVEO,AVAT2
Audio-Visual Aids Technician III,10,08-IA,AVEO,AVAT3
Audio-Visual Aids Technician IV,14,08-IA,AVEO,AVAT4
Audio-Visual Equipment Operator I,3,08-IA,AVEO,AVEO1
Audio-Visual Equipment Operator II,5,08-IA,AVEO,AVEO2
Audio-Visual Equipment Operator III,7,08-IA,AVEO,AVEO3
Auxiliary Machine Operator I,4,03-PS,IT,AXMO1
Auxiliary Machine Operator II,6,03-PS,IT,AXMO2
Auxiliary Machine Operator III,8,03-PS,IT,AXMO3
Auxiliary Machine Operator IV,11,03-PS,IT,AXMO4
Bacteriologist I,11,13-MP,BT,BARL1
Bacteriologist II,15,13-MP,BT,BARL2
Bacteriologist III,18,13-MP,BT,BARL3
Bacteriologist IV,22,13-MP,BT,BARL4
Bacteriologist V,24,13-MP,BT,BARL5
Bailiff I,5,14-DS,CSS,BALF1
Bailiff II,7,14-DS,CSS,BALF2
Bailiff III,10,14-DS,CSS,BALF3
Ballistician I,10,14-DS,CI,BALST1
Ballistician II,14,14-DS,CI,BALST2
Ballistician III,18,14-DS,CI,BALST3
Ballistician IV,22,14-DS,CI,BALST4
Ballistician V,24,14-DS,CI,BALST5
Bandmaster,9,08-IA,MC,BM
Barangay Health Aide,4,09-MH,HPD,BHA
Barber,2,17-MS,BC,BB
Bill Collector,5,02-FS,CC,BC
Biological and Feed Products Inspector,8,09-MH,V,BFPI
Biologist I,11,13-MP,BL,BIO1
Biologist II,15,13-MP,BL,BIO2
Biologist III,18,13-MP,BL,BIO3
Blacksmith I,4,06-CT,MW,BLK1
Blacksmith II,6,06-CT,MW,BLK2
Blacksmith Shop Foreman,9,06-CT,MW,BLKSF
Board Chairman I,28,18-ES,TMG,BOCH1
Board Chairman II,29,18-ES,TMG,BOCH2
Board Chairman III,30,18-ES,TMG,BOCH3
Board Chairman IV,31,18-ES,TMG,BOCH4
Board Governor,29,18-ES,TMG,BG
Board Member I,27,18-ES,TMG,BOME1
Board Member II,28,18-ES,TMG,BOME2
Board Member III,29,18-ES,TMG,BOME3
Board Member IV,30,18-ES,TMG,BOME4
Board Secretary I,14,01-GA,CBS,BS1
Board Secretary II,17,01-GA,CBS,BS2
Board Secretary III,20,01-GA,CBS,BS3
Board Secretary IV,22,01-GA,CBS,BS4
Board Secretary V,24,01-GA,CBS,BS5
Board Secretary VI,25,01-GA,CBS,BS6
Boatswain,4,05-TC,MTS,BW
Botanist,11,13-MP,BL,BOTA
Broadcast Operations Chief,24,08-IA,BOPP,BOC
Broadcast Operations Supervisor,19,08-IA,BOPP,BOS
Broadcast Operations Technician I,9,08-IA,BOPP,BOT1
Broadcast Operations Technician II,11,08-IA,BOPP,BOT2
Broadcast Operations Technician III,13,08-IA,BOPP,BOT3
Broadcast Operator I,6,08-IA,BOPP,BRO1
Broadcast Operator II,8,08-IA,BOPP,BRO2
Broadcast Production Supervisor,19,08-IA,BOPP,BROPS
Broadcast Program Producer-Announcer I,12,08-IA,BOPP,BPPA1
Broadcast Program Producer-Announcer II,16,08-IA,BOPP,BPPA2
Broadcast Program Producer-Announcer III,19,08-IA,BOPP,BPPA3
Broadcast Program Traffic Officer,9,08-IA,BOPP,BPTO
Broadcast Station Manager,22,08-IA,BOPP,BSMG
BUCOR Deputy Director-General,29,18-ES,OM,BCORDDG
BUCOR Director-General,30,18-ES,OM,BCORDG
Budget and Management Analyst,11,02-FS,B,BMAN
Budget and Management Specialist I,13,02-FS,B,BMS1
Budget and Management Specialist II,16,02-FS,B,BMS2
Building Inspector,11,04-AE,BR,BLDG1
Building Official,24,04-AE,BR,BLDGO
Building Pest Control Officer,7,09-MH,PC,BPCO
Building Regulations Coordinator Positions to be converted to generic clas titles,19,04-AE,BR,BLDG2
Bookkeeper,8,02-FS,AC,BKP
Budgeting Assistant,8,02-FS,B,BAS
Budget Officer II,15,02-FS,B,BUDO2
Budget Officer III,18,02-FS,B,BUDO3
Budget Officer IV,22,02-FS,B,BUDO4
Budget Officer V,24,02-FS,B,BUDO5
Budgeting Aide,4,02-FS,B,BAI
Budget Officer I,11,02-FS,B,BUDO1
Buyer I,4,01-GA,SUM,BY1
Buyer II,6,01-GA,SUM,BY2
Buyer III,9,01-GA,SUM,BY3
Buyer IV,11,01-GA,SUM,BY4
Buyer V,13,01-GA,SUM,BY5
Bookbinder I,2,06-CT,PW,BB1
Bookbinder II,4,06-CT,PW,BB2
Bookbinder III,7,06-CT,PW,BB3
Bookbinder IV,10,06-CT,PW,BB4
Cabin Crew Examiner I,11,05-TC,AV,CCE1
Cabin Crew Examiner II,13,05-TC,AV,CCE2
Cabinet Secretary,31,18-ES,CES,CABS
Cabinet Undersecretary,30,18-ES,CES,CABUS
Career Minister,28,16-FR,FS,CRMS
Cartographer I,6,04-AE,CR,CGR1
Cartographer II,8,04-AE,CR,CGR2
Cartographer III,11,04-AE,CR,CGR3
Cartographer IV,15,04-AE,CR,CGR4
Cartographer V,19,04-AE,CR,CGR5
Cemetery Caretaker,2,06-CT,GUS,CMC
"Chairman, Constitutional Commission",31,18-ES,TMG,CCCM
"Chairman, Police Regional Appellate Board",27,14-DS,PA,CPRAB
Chairperson,31,18-ES,TMG,CHPN
Chancellor I,28,10-EL,STCA,CHL1
Chancellor II,29,10-EL,STCA,CHL2
Chancellor III,30,10-EL,STCA,CHL3
Chaplain,16,07-SS,RG,CLAIN
Check Flight Radio Operator,11,05-TC,AV,CFRO
Check Pilot I,19,05-TC,AV,CPLT1
Check Pilot II,21,05-TC,AV,CPLT2
Check Pilot III,22,05-TC,AV,CPLT3
Check Pilot IV,23,05-TC,AV,CPLT4
Chef,11,17-MS,FOS,CF
Chemist I,11,13-MP,C,CMT1
Chemist II,15,13-MP,C,CMT2
Chemist III,18,13-MP,C,CMT3
Chemist IV,22,13-MP,C,CMT4
Chemist V,24,13-MP,C,CMT5
Chief Accountant,24,02-FS,AC,CACT
Chief Administrative Officer,24,01-GA,ADS,CADOF
Chief Agrarian Reform Program Officer,24,11-AA,AGR,CARPO
Chief Agriculturist,24,11-AA,AGD,CAGR
Chief Air Navigation System Specialist,24,04-AE,AT,CANSS
Chief Air Traffic Controller,24,05-TC,AV,CATC
Chief Airways Communicator,24,05-TC,AV,CAC
Chief Aquaculturist,24,11-AA,AQD,CAQT
Chief Archivist,24,10-EL,ARV,CART
Chief Auditing Systems Specialist,24,02-FS,AFE,CASS
Chief Aviation Safety Regulation Officer,24,05-TC,AV,CASRD
Chief Budget and Management Specialist,24,02-FS,B,CBMS
Chief Communications Development Officer,24,05-TC,CDOR,CCDO
Chief Cooperatives Development Specialist,24,12-TT,CD,CCDS
Chief Customs Operations Officer,24,02-FS,CO,CCOO
Chief Defense Research Officer,24,14-DS,DR,CDRO
Chief Economic Development Specialist,24,03-PS,ED,CEDS
Chief Ecosystems Management Specialist,24,11-AA,EERM,CECMS
Chief Education Program Specialist,24,10-EL,ERPS,CEPS
Chief Education Supervisor,24,10-EL,ERPS,CES
Chief Electrotyper,18,06-CT,PMO,CE
Chief Emigrant Services Officer,24,07-SS,ES,CESO
Chief Energy Regulation Officer,24,11-AA,ER,CERO
Chief Environmental Management Specialist,24,11-AA,EERM,CEVNMS
Chief Executive Staff,28,18-ES,CES,CEXS
Chief Fiber Development Officer,24,11-AA,FD,CFDO
Chief Fidelity Bond Examiner,24,02-FS,BFCP,CFBE
Chief Financial Management Specialist,24,02-FS,FO,CFMS
Chief Fishing Regulations Officer,24,11-AA,AQD,CFHRO
Chief Foreign Affairs Research Specialist,24,16-FR,FAR,CFARS
Chief Forest Management Specialist,24,11-AA,FA,CFMOS
Chief GAD Specialist,24,07-SS,GAD,CGAD
Chief Geologist,24,13-MP,G,CG
Chief Health Program Officer,24,09-MH,HPD,CHPO
Chief Historic Sites Development Officer,24,10-EL,HSD,CHSDO
Chief History Researcher,24,10-EL,HR,CHR
Chief Home Management Specialist,24,07-SS,HM,CHMS
Chief Immigration Officer,24,07-SS,IMR,CIO
Chief Industrial Design Specialist,24,08-IA,I,CIDS
Chief Insurance Specialist,24,12-TT,IR,CIS
Chief Investments Specialist,24,12-TT,IA,CINS
Chief Judicial Staff Head,29,01-GA,EJLS,CJSH
Chief Judicial Staff Officer,25,01-GA,EJLS,CJSO
Chief Justice of the Supreme Court,32,15-LJ,JJ,CJSC
Chief Labor and Employment Officer,24,07-SS,LEMD,CLEO
Chief Language Researcher,24,10-EL,LRES,CLR
Chief Legislative Staff Officer,25,01-GA,EJLS,CLSO
Chief Local Treasury Examiner,24,02-FS,AFE,CLTE
Chief Manpower Development Officer,24,07-SS,LEMD,CMDO
Chief Maritime Industry Development Specialist,24,05-TC,MTS,CMIDS
Chief Meat Control Officer,24,09-MH,V,CMCO
Chief Metallurgist,24,13-MP,ML,CM
Chief of Hospital I,24,09-MH,HA,CH1
Chief of Hospital II,25,09-MH,HA,CH2
Chief of Hospital III,26,09-MH,HA,CH3
Chief of Medical Professional Staff I,25,09-MH,M,COMPS1
Chief of Medical Professional Staff II,26,09-MH,M,COMPS2
"Chief of Mission, Class I",30,16-FR,FS,CMIC1
"Chief of Mission, Class II",29,16-FR,FS,CMIC2
Chief of Sanitarium I,24,09-MH,HA,CS1
Chief of Sanitarium II,25,09-MH,HA,CS2
Chief of Sanitarium III,26,09-MH,HA,CS3
Chief of Staff (OVP),30,18-ES,CES,CSFVP
Chief Parole Officer,25,07-SS,PPA,CPO
Chief Penal Institution Program Officer,24,07-SS,PIM,CPIPO
Chief Personnel Specialist,24,01-GA,HRM,CPS
